AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,DeviceRegistered,ViewingHoursPerWeek,ContentDownloadsPerMonth,UserRating,SupportTicketsPerMonth,WatchlistSize
70,6.147634404929258,430.3344083450481,1,0,6.689838798886065,30,2.5239378763366536,8,10
27,5.197994513676795,140.34585186927347,1,0,33.769681686643665,35,1.8439853386360137,0,14
12,9.89761357148005,118.7713628577606,1,1,14.856050496470036,19,3.520419285444477,2,13
112,7.195644904716859,805.9122293282883,2,3,38.851928705452075,17,4.3913216326235744,6,9
52,10.52290494750642,547.1910572703339,2,1,38.1847697034214,21,3.3123465770669793,7,9
41,14.945974729291091,612.7849639009348,1,3,9.316121672167768,9,4.59861317860126,6,0
109,14.832509393985916,1616.7435239444649,0,2,30.621466313988037,48,1.081817232761788,2,8
80,17.26587649558872,1381.2701196470975,1,2,21.48638380626872,13,4.46854648564044,5,24
49,5.9755163168208,292.80029952421916,0,2,20.13777270204664,29,3.103060609694589,4,10
25,17.798395907399836,444.9598976849959,2,0,24.739080687882176,0,4.7975550299997005,4,19
66,9.00556074183192,594.3670089609067,1,3,22.804925809286136,25,1.2516030791682144,6,4
88,9.334650835346524,821.449273510494,1,0,38.101574508987234,25,1.680150828235512,8,10
102,5.721060595233923,583.5481807138601,2,3,7.925638886395555,28,2.155549541821484,9,3
110,16.41430978536556,1805.574076390212,0,3,2.0593373483972464,12,3.2303004088924427,0,15
113,14.074264957774863,1590.3919402285596,0,1,33.225329279053554,36,3.9690188882386743,8,0
114,6.459593805628357,736.3936938416326,2,3,10.594917905061724,29,3.7573785028826,9,15
60,16.926145199533558,1015.5687119720136,0,1,23.800620160572063,2,3.083915070876639,2,6
74,7.826354969528785,579.15026774513,1,0,38.06312386544836,26,2.223329314235738,3,16
59,10.378337404975914,612.3219068935789,1,1,20.415791942859773,18,2.1398239645683894,1,0
36,13.312498911506903,479.2499608142486,0,2,10.493097736659012,38,3.448434398458069,1,8
8,15.631720309045752,125.05376247236602,0,0,29.004706707984997,42,2.085906968574105,8,14
95,12.273579663820154,1165.9900680629146,0,3,26.112491843691764,37,3.4065613545423123,4,5
48,9.234230799227664,443.24307836292786,1,3,20.638498512419385,21,1.732964011731248,2,14
25,15.559165732998704,388.9791433249676,0,3,25.71212367796448,49,4.772891541694833,8,19
85,17.556876737098403,1492.3345226533645,1,0,25.73252479540097,42,2.418608542687869,7,1
35,11.834855543210672,414.2199440123735,1,2,31.48212463669141,12,2.9132691505931407,2,10
92,18.915779082626216,1740.251675601612,0,3,22.81067730350752,32,3.946192665971137,5,1
82,16.157056164345963,1324.878605476369,2,1,1.115374153618414,24,2.8088156424757065,1,19
23,8.318272299998693,191.32026289996995,0,2,15.620638911996382,22,4.196602291460594,4,22
90,9.246554352928046,832.1898917635241,2,3,7.29871169246854,12,1.6891792110549138,8,22
15,14.082094870206278,211.23142305309415,2,1,34.27835153939511,41,3.647776304013436,1,18
82,7.866964839026039,645.0911168001352,1,3,13.64049138427287,17,3.5586225166527634,1,21
102,5.894827114554138,601.2723656845221,2,0,4.75228789414352,49,2.414238795601573,1,1
81,14.175381426626048,1148.20589555671,2,1,24.71486035358719,36,1.9926847046699692,1,6
100,9.178214126909628,917.8214126909628,1,1,9.423056076516882,35,1.3814897419732293,5,24
47,7.360580675472146,345.9472917471909,0,1,3.906451323107712,32,4.822651977906309,3,15
34,9.19513599626456,312.634623872995,1,1,34.34764593504549,5,2.8223468777059897,5,16
112,17.80832804043481,1994.5327405286985,2,2,9.513275559164164,38,1.6432523460820718,9,10
15,19.34320736355797,290.1481104533695,1,3,1.3270586395167805,17,4.213699162041941,5,17
58,19.618965081725605,1137.899974740085,0,1,4.749359514769939,35,4.5963359266959545,6,14
39,17.455147543098185,680.7507541808292,1,3,6.855077572455647,11,4.002370213963157,2,20
88,6.917748531621072,608.7618707826543,0,3,12.090173912273,16,1.9169777192159008,0,20
22,12.70515938671628,279.5135065077581,2,3,19.24556635893436,9,4.852601510954539,1,7
22,15.2657537475059,335.8465824451298,1,0,19.050109855530433,21,3.37985244838796,0,24
104,19.54797897847955,2032.989813761873,1,1,27.516983324610983,7,4.352526214732514,9,14
110,5.93341428391226,652.6755712303486,0,2,2.6471513342999327,11,3.93948548420147,9,15
13,14.405261847291175,187.2684040147853,0,3,39.906192062238496,35,2.9942233844469075,8,8
69,5.255652124807075,362.6399966116882,2,2,28.347874477682065,41,3.0288504442903887,5,24
83,12.16182210867802,1009.4312350202756,2,0,4.225845993641208,30,3.633709116791191,3,15
115,18.725457074069507,2153.4275635179933,2,0,22.1183949096654,32,3.5764806136658405,7,5
3,15.794538305885814,47.38361491765744,2,1,14.423532924779812,35,2.742918326689131,1,13
24,6.84377375369367,164.2505700886481,2,1,30.96607106146464,47,4.52726728209267,4,24
12,8.891429993131272,106.69715991757526,1,3,9.628576237570948,33,3.2922131036847397,7,20
68,5.200831099913105,353.65651479409115,1,2,18.33091727731147,6,4.564056621783308,2,0
30,19.481754777497855,584.4526433249357,2,3,18.15951062303213,3,1.5792728616264284,2,7
109,12.979369826607654,1414.7513111002345,2,2,28.10070026173784,11,2.4708511616821673,5,2
84,10.65992003588906,895.433283014681,0,1,37.263415401528064,3,3.1049888162171717,4,24
14,5.05955974020132,70.83383636281847,2,2,20.88846476272781,34,2.1292952441944037,1,12
30,15.589740572982995,467.69221718948984,2,3,22.387780470355064,40,1.625933477494454,9,11
13,15.692070642882788,203.99691835747623,1,1,30.61444127513754,21,1.5534659588601327,1,13
35,14.037883568367151,491.3259248928503,0,3,20.899143226933234,38,3.77002358415731,5,14
113,5.126692067056503,579.3162035773848,2,1,39.93694022571671,12,2.06824208327406,6,22
117,7.678675882689646,898.4050782746885,2,3,28.61771447755568,38,4.7747987896266135,1,14
68,18.796302241062776,1278.1485523922688,2,0,14.05319934828509,0,2.63245935478556,4,6
84,17.09260225615847,1435.7785895173115,1,0,7.442077160623723,43,3.0397927650534307,8,1
30,16.0993323864902,482.979971594706,0,3,32.92434833198429,19,2.1534815661044404,4,3
111,7.942550499167131,881.6231054075515,0,0,7.169145412423485,8,3.8088313664133904,6,11
7,11.56475974703606,80.95331822925242,2,0,32.28761366496208,25,1.1886684565455266,4,1
4,18.20617242018129,72.82468968072516,0,0,27.633427714908446,3,3.7665622189223806,0,19
118,9.136593134834024,1078.117989910415,0,2,15.80532415804324,43,1.8421316467554432,2,2
10,16.26479720711385,162.6479720711385,2,0,23.549651515267417,1,4.83502666216256,1,1
7,7.70276374407068,53.91934620849476,0,0,3.3781280463888845,35,2.6267549269099044,6,14
108,6.049982795420825,653.3981419054492,0,3,13.712888986777514,31,1.90378499755393,4,20
42,6.702620869626319,281.5100765243054,0,3,4.3482619019024735,40,1.7541185475614245,4,14
64,16.37542933413425,1048.027477384592,0,2,32.7551937988697,6,3.227262227310694,2,5
35,18.394076547872267,643.7926791755293,2,1,32.80124783014694,48,3.0667850584879535,0,15
65,8.337293292632383,541.9240640211049,0,2,31.509726626727,26,3.026908355945898,6,21
117,7.100112023664019,830.7131067686903,1,1,8.758714569217156,43,1.79157525610102,7,23
74,17.383545985312267,1286.382402913108,0,3,31.38760149020862,43,3.539588962879345,9,12
59,11.888029628963428,701.3937481088421,1,0,17.221646958235226,12,4.635111898174943,1,14
54,15.8724303955555,857.1112413599969,1,1,2.0985932016896993,9,3.941250062726126,5,21
93,8.081380609722354,751.5683967041789,2,3,24.301417600414677,19,2.103322809702899,5,14
43,18.921788530069698,813.636906792997,1,0,27.482357636186247,48,2.472167844684135,8,6
33,15.429515566085223,509.1740136808124,0,1,3.7477352454903023,47,2.303980533451398,5,19
42,9.184261884002757,385.7389991281157,0,0,33.80978177188499,8,3.2609187437157927,9,0
29,5.176833004383977,150.12815712713532,0,1,4.210421292704888,49,4.794406214074985,6,12
54,19.743191513678138,1066.1323417386193,0,1,8.665442415524188,27,3.3879475492611677,8,20
25,8.258236633800454,206.45591584501136,0,3,13.352717916431342,37,1.09580658001867,5,11
60,17.560279865087217,1053.616791905233,2,1,3.7136641202377385,28,4.388073999846848,1,22
45,12.994261254735784,584.7417564631102,0,1,16.727391071112038,21,4.847182303582569,5,2
101,16.232832329394263,1639.5160652688205,0,1,25.08359552045364,16,2.8915612257698156,4,24
38,7.20258824780303,273.69835341651515,2,3,28.515761226291797,26,4.303088990187691,4,14
109,9.299782258487472,1013.6762661751344,1,2,19.895774105145893,20,3.8344316048044784,5,14
4,9.716159380251344,38.86463752100538,2,1,10.72009196843613,43,1.1246346678975545,8,2
68,13.149729759753276,894.1816236632228,0,1,34.53767550224203,35,3.3613243605011864,7,1
81,9.457478592812912,766.0557660178458,2,3,33.40308193973827,44,4.283716511917996,1,21
57,5.29916963243657,302.05266904888447,2,2,18.869317608333105,34,2.3182203500549874,3,3
38,17.73448435966267,673.9104056671814,0,0,18.81220896639344,11,4.552857476191994,6,16
111,16.879919730025655,1873.671090032848,1,2,10.050526945284142,48,4.888645983341096,0,9
1,16.584000029803818,16.584000029803818,2,0,38.93247853021363,29,3.938342122438632,7,24
58,16.63108981420563,964.6032092239266,1,3,33.27941345959016,1,1.5054518285044265,5,12
112,12.56711908371942,1407.517337376575,1,2,31.213119247871116,20,4.268845450083441,3,16
16,10.968195973447,175.491135575152,2,3,6.128027572076931,30,4.249321256471746,9,8
92,9.18006150457104,844.5656584205357,1,1,6.112778818339786,32,1.3429480861632093,8,17
70,16.43317562945549,1150.3222940618843,0,1,21.05141616000041,21,1.96898098100752,6,20
21,6.0909932634413195,127.91085853226772,0,2,26.20471996083417,9,4.481378672012649,2,17
89,13.177301851996328,1172.7798648276732,1,1,2.0256518415029254,14,1.236111724286543,3,4
10,5.065138490000072,50.65138490000072,0,0,34.93294815870175,35,3.5035490992324605,3,23
85,10.275719671611908,873.4361720870122,0,0,33.612244334705785,34,3.951616886890925,1,18
3,18.77979369661489,56.33938108984468,2,3,8.45562112437418,4,1.8535285526444327,8,12
74,8.652272229240445,640.2681449637929,0,2,21.024384420766488,21,1.1733374978346474,3,10
10,18.601913017299395,186.01913017299395,2,3,23.982405811782485,41,4.552937403708768,2,7
48,7.373864536933725,353.94549777281884,0,0,38.44818878707173,15,4.368351192155581,5,15
22,9.375935694285609,206.2705852742834,1,0,16.452489769087116,7,1.790005035174293,9,16
68,19.620770344327205,1334.21238341425,2,2,34.74498135753396,48,2.11359657153557,7,7
21,17.49565681444016,367.40879310324334,2,2,3.755498180856311,46,2.8597902994336755,8,12
10,10.27260628982386,102.72606289823858,2,0,2.854890095477371,3,4.20455815006923,5,13
45,7.510772332736672,337.98475497315025,2,3,1.0495665519324358,20,4.694086396614957,9,6
79,8.49502661340491,671.1071024589879,0,0,11.466327382234237,44,3.5162896611169923,7,8
25,14.90372053121046,372.59301328026146,2,1,29.5140845189993,21,3.01180769359091,6,17
30,15.982218289410657,479.4665486823196,0,0,27.35995460158098,15,3.3055469510458613,8,20
92,8.271652765776018,760.9920544513936,2,2,39.300925622298394,11,4.494181728946453,3,7
81,6.32581830782329,512.3912829336865,0,1,7.966823698278692,27,2.2438673145269914,5,11
69,15.92020196848312,1098.4939358253353,0,2,2.779454803419844,8,2.1448281676998535,7,13
40,14.660460029575829,586.4184011830331,1,0,29.476682644626155,20,1.8548413356550943,6,10
61,12.496819357282186,762.3059807942134,2,1,8.940233634793444,0,4.5081677742417305,6,21
72,16.30249361430559,1173.7795402300026,2,0,28.863608205730575,49,4.510674603305651,4,16
117,10.151662389321448,1187.7444995506094,0,3,4.756882499137361,5,4.962757147566778,7,15
52,17.71155134062066,921.0006697122742,2,2,39.707388163457495,41,3.459577560148911,0,21
73,19.185653973537477,1400.5527400682358,1,3,9.35380015118669,41,2.954121785828715,1,6
36,15.562418398687884,560.2470623527638,1,3,24.468263704453513,26,2.1571128198802754,4,4
10,15.335506783928588,153.35506783928588,1,1,15.865559677268662,18,2.4752180553542327,9,24
54,16.824091782870802,908.5009562750232,1,2,31.78435448285237,27,3.9963604065843974,8,13
20,9.622730570991202,192.45461141982403,2,1,5.108885119696609,6,2.242947667142378,3,19
53,7.683637287738217,407.23277625012554,2,0,16.336765811569652,48,2.133881926792221,7,4
5,11.623186118516228,58.11593059258114,0,2,22.8843926698347,31,2.7002893667016954,1,14
79,5.705710403905095,450.7511219085025,1,3,20.752885218548084,26,3.049739814957078,2,16
63,13.042457090677772,821.6747967126997,1,1,15.59510971557776,12,3.058389603064523,3,19
19,9.321956301494732,177.11716972839994,2,3,27.773587547816224,44,2.6202089958446995,9,0
4,16.962056261951155,67.84822504780462,2,0,20.742878766568925,20,4.435175894433117,6,24
58,5.224380743343574,303.0140831139273,2,2,36.330552130684275,11,4.759970215394501,4,6
60,12.258482146730437,735.5089288038262,2,0,12.30555301662544,36,4.932410832241489,6,12
101,15.646907876618767,1580.3376955384956,0,0,4.016480048327018,16,3.957209345973104,7,20
14,9.512648750780716,133.17708251093003,2,1,12.618832551847932,33,1.1453095699051468,5,6
11,7.1433097879999465,78.5764076679994,0,1,5.637860755226139,16,2.5927243158483213,0,6
78,8.592940691366685,670.2493739266015,2,3,8.759896857059957,39,1.3938324083771891,0,20
53,8.308225214581404,440.3359363728144,0,1,19.65916026994855,35,4.589962446052357,1,24
76,16.0692629372996,1221.2639832347695,1,2,18.640483364931537,13,1.5786268715149898,2,18
24,16.32650274836754,391.8360659608209,0,3,22.97189121879728,0,4.87032919089628,6,1
92,6.83770864677322,629.0691955031363,2,0,36.506239652898614,11,3.0896338709873183,0,12
35,11.569413177049643,404.9294611967375,0,3,27.45699558607653,22,1.8610143779419523,6,16
80,19.497565773815246,1559.8052619052196,2,1,22.195924152446803,27,4.540456167516945,5,9
35,11.915420414984707,417.0397145244648,0,0,24.32934721244326,22,2.954574114066446,7,19
39,17.656691746839513,688.610978126741,1,0,16.706273850807868,45,1.1145646140621737,6,14
48,9.206402788256252,441.9073338363001,2,1,11.313265271644212,10,4.420140372636512,9,12
16,7.124854939598905,113.99767903358249,2,0,33.89995368729651,10,4.293553777967195,7,6
71,12.89710405995943,915.6943882571196,2,2,30.25113697408984,3,2.876766667223664,6,19
115,9.996388689207675,1149.584699258883,2,3,28.950399785185525,35,2.860397221260659,0,16
113,13.1180154381715,1482.3357445133795,2,2,39.90639955201815,28,3.837913457525946,2,0
75,12.909733354273817,968.2300015705362,1,3,12.804263242646076,39,2.5618042579930025,5,3
65,9.45593670405514,614.635885763584,2,2,17.72874504214514,46,4.744693519139531,8,23
34,16.6302918432854,565.4299226717036,0,0,7.243701305488175,4,2.0433655393506784,2,21
99,11.614894132415936,1149.8745191091778,1,1,29.55435016334133,27,2.771793577571821,4,5
19,6.9093961618016255,131.27852707423088,1,3,2.306512263531846,49,3.710250566308776,7,4
102,19.429288086100343,1981.787384782235,2,3,11.407523014835016,17,4.08075580830392,8,19
57,9.506086823507744,541.8469489399414,0,0,23.076511207740236,45,4.605744696638739,6,19
4,19.64600882770054,78.58403531080216,0,0,28.80227722459211,24,3.098460841967484,0,3
68,19.439808833581495,1321.9070006835416,2,1,19.972444429044316,29,1.7780362356414532,6,24
39,7.023660869540411,273.922773912076,2,0,11.894154307591062,33,4.512597938025663,8,6
54,8.486978033466652,458.2968138071992,2,1,16.76623125616789,41,1.2794305420655028,9,0
101,10.202724475659902,1030.4751720416502,0,0,3.624927146110089,6,2.0616402078360303,9,21
99,16.2932768500202,1613.0344081519995,0,1,14.515334442533884,40,2.457550998977141,4,7
26,7.27351695053879,189.11144071400852,1,0,13.246026156122788,42,3.257658838093594,7,6
51,5.642980156332329,287.7919879729488,2,1,8.791025021744513,29,3.5622607767195564,4,20
6,9.994372078445425,59.96623247067254,0,3,12.579592334989588,35,1.827046090218864,3,22
7,12.848910452013437,89.94237316409405,1,3,31.277016460388996,5,4.439892928075242,6,7
78,16.00965568528853,1248.7531434525051,1,1,21.927125821488012,36,3.1770852718673157,3,14
28,6.3085932783754135,176.6406117945116,1,0,20.568205434675725,29,2.584762093629379,6,13
119,13.66151817410307,1625.7206627182654,2,0,21.69970036163072,42,1.9327442919221012,9,22
84,8.94204736344304,751.1319785292153,2,0,19.22890226556898,13,1.667596852329635,9,8
91,9.307968871925016,847.0251673451763,0,1,28.781652548531223,49,3.8328308525774704,6,11
50,16.529038471092836,826.4519235546418,0,3,8.823570063153994,33,1.8491663611161864,0,7
76,9.303239562582672,707.046206756283,0,0,8.453028460232836,1,2.317043288110694,0,13
27,8.6995940945817,234.8890405537059,0,0,28.918892503221667,40,2.6000248560969292,6,11
78,7.801848194198083,608.5441591474505,0,3,33.01206250205715,13,4.921702079236557,0,10
40,5.622510681811076,224.90042727244304,0,2,37.16292556871841,47,2.350737327277003,1,0
103,19.94609893410981,2054.4481902133098,0,0,37.38537368978069,0,4.368441709239823,0,3
72,5.439971524575243,391.67794976941747,2,2,37.54414461880844,41,3.387720959410274,2,18
7,10.540480555937762,73.78336389156433,1,2,6.47472102887756,15,4.248742159300438,7,17
17,6.073920897746243,103.25665526168612,2,0,20.19337405164166,9,2.318213300418292,9,23
65,7.565958713095638,491.7873163512165,0,1,3.3784141828395837,31,3.5219291068510516,6,18
74,10.688467311295229,790.9465810358467,0,3,19.647769459671583,37,1.239220563406941,7,5
17,13.899370411891685,236.28929700215863,2,2,14.04988601879694,42,3.534048448981986,3,14
94,12.975687634418763,1219.714637635364,0,2,15.836507667342326,24,3.482286927314038,5,14
45,8.57546556836309,385.89595057633903,1,2,9.749159206319856,15,4.435402921501986,4,8
110,5.282231086907252,581.0454195597978,2,2,29.616320671856386,8,2.4940877906224346,6,4
28,11.212934282502042,313.96215991005715,0,0,7.374890963343299,26,1.9844844488701872,7,3
45,8.853764815142313,398.4194166814041,2,3,23.976344382797013,20,2.038221535011055,1,7
70,17.909108372150797,1253.637586050556,2,0,36.230257291662134,30,3.100675323160628,7,20
15,8.621349521647195,129.32024282470792,0,0,10.405540198942138,48,3.614210629461956,6,14
28,17.528816578396402,490.8068641950993,2,0,5.674454242616934,37,3.5463295257638983,2,9
4,9.940774083296375,39.7630963331855,2,2,30.335517186772854,33,3.4411654907582134,7,24
118,10.846345167125804,1279.8687297208448,0,0,22.605358749493767,7,4.104778797776782,0,2
43,8.214083401381245,353.20558625939356,1,2,38.98082844459877,22,2.738540251992404,5,11
112,14.708259050638766,1647.325013671542,0,3,15.644513924029736,16,2.2056398941972075,7,6
84,14.95869501452107,1256.53038121977,0,3,15.02055676473619,41,1.153846148943229,8,8
18,5.0285313193530286,90.51356374835451,2,2,23.959303260276435,10,2.1873935778635687,0,0
49,9.74534403269811,477.5218576022074,1,1,36.84734828121314,13,1.14201965272009,4,13
19,16.398616983447994,311.5737226855119,2,0,4.482018580362385,2,1.609775991030287,7,10
92,10.283269395748778,946.0607844088876,1,1,22.23374830447469,31,1.4794252125446017,4,5
111,7.49930059869944,832.4223664556379,2,0,8.439563528897562,37,3.918151047398423,9,23
59,14.73393767013576,869.3023225380098,0,3,16.5142767558104,12,3.2492389696756936,1,4
33,17.72922388739123,585.0643882839105,1,0,31.716098475863625,19,3.455699153092036,4,6
5,7.698327185293179,38.4916359264659,1,1,25.61806981021714,26,2.2498636806184913,8,18
43,15.938524511456857,685.3565539926449,0,3,33.08676703916343,26,1.3998496105547271,5,14
69,15.446977638752967,1065.8414570739546,1,0,5.632027078735801,31,2.142437708034214,2,18
55,6.763867201488459,372.0126960818653,1,1,13.016089334537432,8,1.9755757067063249,2,19
80,11.501546205657444,920.1236964525956,0,0,5.3970001620959165,30,4.586761957935604,4,3
12,16.913151239424366,202.9578148730924,2,1,9.982739560579212,4,1.961877663150212,0,14
31,14.723025147308489,456.4137795665631,1,0,36.94955335984489,42,4.123032074597149,9,0
92,18.273748888887887,1681.1848977776856,1,1,1.699220613370469,8,1.2736866635027582,4,2
79,9.473711399829009,748.4232005864916,1,0,30.689650991973185,27,4.60273116165805,8,3
38,16.587637713465327,630.3302331116824,0,0,29.84302036828121,39,2.3514596657871585,4,6
48,12.168065513951497,584.0671446696717,1,2,17.089651227183058,9,1.956147850845117,1,23
22,15.960441998506958,351.1297239671531,0,2,36.553822559161674,39,2.4749333611448843,9,7
37,14.873926258457766,550.3352715629374,2,0,28.024271463498984,25,1.0691536379093751,6,22
108,13.859101210950216,1496.7829307826232,0,1,37.86882538288966,47,3.786341386389434,8,6
41,18.92342480897288,775.8604171678882,0,0,20.258183864210075,37,1.4591337963132769,6,16
56,8.16241186732855,457.0950645703989,2,3,3.7361399437873377,6,2.905510255909055,8,22
25,12.954045843159395,323.85114607898487,2,3,19.05628079010266,40,4.539186853219719,1,8
34,5.170097755253322,175.78332367861296,0,2,19.761185222368532,23,4.115467446036241,3,13
25,12.435871948794407,310.89679871986016,1,1,18.294991601043304,7,2.416574553886083,4,13
6,5.30171213183062,31.810272790983724,1,0,4.5839919055587615,38,4.044300629838256,8,6
31,7.961120950845018,246.79474947619556,0,0,37.35978246070368,33,1.7192575594654835,2,18
117,18.232458880739955,2133.197689046575,2,0,20.749572846048466,3,3.864674737348648,4,0
48,13.070501405328914,627.3840674557879,0,0,10.857803771811326,47,4.791940198285313,0,24
23,18.599811755562342,427.7956703779339,1,3,22.54157782874994,11,2.5307200356634163,0,10
66,9.195471269696093,606.9011037999421,0,0,27.189217567006203,46,2.6741355366998634,3,3
95,9.823426108431098,933.2254803009544,2,3,30.0261540864202,47,1.687247217905333,9,7
16,14.558265557369063,232.93224891790504,1,3,4.09569928633986,48,1.3490406079901485,6,6
34,13.942321197090369,474.0389207010725,0,0,31.242923340112338,42,1.5791478426895216,0,15
